issn,discount,is_flatrate
1549-9596,1,False
1751-5823,0.2,False
2056-7405,1,False
0896-6346,1,False
0191-9512,0.25,False
1745-2554,1,False
1520-5134,0.25,False
2321-029X,0.2,False
2213-2317,0.25,False
1545-2301,0.25,False
1754-4505,1,False
1545-0856,1,False
2197-2796,1,False
1474-7464,0.25,False
0167-8442,1,False
1097-0347,1,False
2192-1482,0.25,False
1361-6382,1,False
1742-0598,1,False
1751-1097,1,False
1365-2427,1,False
0255-2701,0.2,False
0144-5340,1,False
1043-6618,1,False
0300-7995,0.25,False
2165-0381,1,False
2755-323X,1,False
2667-0968,1,False
1469-7661,0.25,False
1904-0016,0.25,False
1868-8810,1,False
2380-0135,0.25,False
1743-8594,1,False
0093-5301,1,False
0144-929X,0.25,False
0883-9441,1,False
1613-1134,0.25,False
0165-1765,1,False
1943-3107,1,False
0047-6374,0.4,False
1741-7279,1,False
0950-4222,1,False
1364-5498,1,False
1936-1610,1,False
2319-7145,0.25,False
0885-3908,0.25,False
2667-2766,1,False
0013-0915,1,False
0026-461X,1,False
1745-4999,0.25,False
1540-6229,0.25,False
2666-2027,0.25,False
2193-2336,1,False
1936-7244,0.25,False
0731-6844,0.25,False
1757-9139,1,False
1532-7582,1,False
0831-2796,1,False
1468-0777,1,False
2057-8911,0.25,False
1474-0087,0.4,False
0193-0826,1,False
1448-4846,1,False
2352-409X,1,False
1473-0782,1,False
1939-2400,0.25,False
1477-1535,1,False
1545-228X,1,False
0066-7374,1,False
1938-744X,0.25,False
1526-4998,0.2,False
1084-8770,0.25,False
1469-1809,1,False
2590-0536,0.25,False
2472-1972,0.25,False
1361-648X,1,False
2666-9161,1,False
1540-7969,0.2,False
2161-7953,1,False
0195-6663,0.25,False
0265-931X,1,False
1756-2651,0.4,False
2748-3479,1,False
1765-2839,0.25,False
1741-3214,0.25,False
0363-8111,0.25,False
1940-3364,1,False
2324-9676,0.25,False
0142-6540,0.25,False
1477-4607,1,False
1741-3060,1,False
8756-3282,1,False
1945-7413,1,False
2047-7724,0.2,False
0141-1594,1,False
1040-6026,1,False
0013-0095,1,False
2628-491X,0.25,False
2047-2927,0.25,False
1535-2900,1,False
2949-9186,1,False
1740-0309,1,False
0950-6608,1,False
0304-3797,0.25,False
1751-8431,1,False
1744-6171,0.25,False
0275-7540,0.25,False
2333-6846,0.2,False
2173-5727,1,False
0014-1844,0.2,False
1932-2143,1,False
1067-991X,0.2,False
2374-3689,1,False
0887-3631,1,False
0003-4894,1,False
2949-7191,0.25,False
1539-4468,1,False
1836-9391,0.4,False
2667-3053,1,False
1557-928X,0.25,False
1547-7401,1,False
0911-6044,1,False
2165-0349,0.2,False
2047-2412,1,False
2772-4174,1,False
1662-6370,1,False
2451-9049,1,False
2378-525X,1,False
2768-3532,0.25,False
1077-8004,1,False
2333-7486,0.25,False
1865-7125,1,False
1467-6419,1,False
0225-5189,1,False
2199-8531,1,False
1124-3694,0.25,False
1351-8046,0.25,False
0966-6362,1,False
2994-9769,1,False
1745-1701,1,False
1440-0952,0.25,False
0952-8873,0.25,False
1756-2201,0.25,False
1749-6020,1,False
1574-6941,0.1,False
1529-9430,1,False
1328-7982,1,False
1464-5262,0.25,False
2666-5468,0.25,False
1502-4717,1,False
2753-8516,0.25,False
2159-9777,1,False
2163-5781,1,False
1600-6135,1,False
2471-4100,1,False
1747-6933,0.25,False
2771-9855,1,False
1938-6362,0.25,False
2162-9536,1,False
2950-2640,1,False
1939-165X,1,False
2405-4569,0.25,False
2949-8236,1,False
1474-001X,0.25,False
1469-5138,1,False
0006-8055,1,False
1478-6028,1,False
1613-3706,0,False
1469-9818,1,False
1195-6860,1,False
1751-7443,0.25,False
1468-1749,0.25,False
1747-1540,1,False
1461-7080,1,False
2471-1616,1,False
1466-1837,1,False
1471-8391,0.25,False
2590-1613,1,False
1532-0383,1,False
1099-0844,1,False
1472-3433,1,False
1526-2375,0.25,False
1469-672X,0.2,False
2347-6311,0.25,False
1708-8283,0.25,False
1465-3397,1,False
0361-6843,0.4,False
2694-2496,1,False
1552-3349,1,False
1520-5126,1,False
0197-3533,0.25,False
1474-9734,1,False
1744-7666,1,False
1468-005X,1,False
1867-3899,1,False
0967-1994,0.25,False
1460-3705,1,False
2456-3722,1,False
0031-3025,0.25,False
0096-1442,1,False
1748-7889,0.2,False
0022-1759,0.25,False
1793-2157,1,False
1744-9324,1,False
1751-696X,1,False
1559-5706,1,False
1942-4795,0.25,False
1558-2159,0.25,False
1743-2200,1,False
2666-769X,0.25,False
0038-0806,1,False
1558-8661,1,False
1467-8381,1,False
1521-6942,1,False
2667-3436,1,False
1532-799X,1,False
1866-9808,0.25,False
1388-2457,0.25,False
1521-057X,1,False
1944-9208,0.2,False
0167-4048,0.25,False
1423-0321,0.1,False
0972-8201,1,False
1365-2990,1,False
0033-2747,1,False
1350-0775,0.1,False
2190-8273,1,False
1532-7027,0.25,False
1464-5173,1,False
1745-6924,1,False
2772-6878,0.25,False
2058-9883,0.25,False
2542-4513,1,False
1745-459X,1,False
0306-9400,1,False
1448-8353,0.25,False
0024-6301,0.25,False
1552-3888,0.25,False
1554-527X,1,False
1472-5878,1,False
1752-0606,1,False
1469-9958,0.25,False
0391-3988,1,False
1440-169X,0.25,False
1064-119X,0.25,False
0011-2240,1,False
1939-3806,1,False
1469-4395,1,False
1523-5378,0.4,False
1538-4845,1,False
0301-3294,0.1,False
1944-7922,1,False
1756-591X,1,False
0387-7604,1,False
0962-0214,0.2,False
2573-2331,1,False
1367-423X,1,False
0144-2872,1,False
0146-8693,0.2,False
0892-7022,1,False
1715-5320,0.2,False
0007-6813,0.4,False
1053-8712,0.2,False
0886-1099,1,False
1465-3303,0.25,False
0024-2829,1,False
1552-7514,0.25,False
0955-2219,1,False
1755-8778,1,False
0036-5521,0.25,False
1865-8849,1,False
0309-6564,1,False
2212-5558,1,False
0016-7746,0.25,False
0024-4082,1,False
0091-4150,1,False
1087-1209,1,False
1477-9234,1,False
2468-1113,1,False
1468-0394,0.25,False
0047-2352,1,False
1918-7033,1,False
2053-4345,1,False
2667-1026,1,False
2196-6842,0.25,False
2046-9047,1,False
2366-0317,1,False
1028-3153,0.25,False
1479-0270,0.25,False
0827-6331,1,False
1873-9946,1,False
1753-3074,1,False
0003-2719,0.25,False
1099-6362,0.25,False
1559-1816,0.25,False
1531-426X,1,False
1747-0927,0.1,False
1744-7976,1,False
1464-505X,1,False
2196-6826,0.25,False
0018-7208,0.25,False
0959-9916,1,False
1470-2436,0.25,False
1935-4940,0.25,False
2772-9737,0.25,False
0923-2508,0.25,False
1357-650X,1,False
1552-7638,1,False
1044-8632,0.25,False
1547-0164,0.25,False
0040-6090,0.25,False
2666-8181,1,False
1468-2478,1,False
2379-9935,1,False
2515-1274,1,False
2168-9156,1,False
2753-6386,1,False
0306-8374,1,False
1532-7698,0.25,False
2772-8293,0.25,False
0892-0362,0.25,False
